Population,Behavior,Hr38_Ratio
aSP2,aggression,5.705132230245623
aSP2,aggression,2.247358878278738
aSP2,aggression,12.312465000699985
aSP2,aggression,6.374891762291802
aSP2,aggression,3.9076105974478406
aSP2,aggression,1.8334182233663257
aSP2,aggression,2.7424001078259588
aSP2,aggression,4.039695187075118
aSP2,aggression,0.7914784914784915
aSP2,aggression,6.796049838038506
aSP2,aggression,6.86075224178014
aSP2,aggression,9.898329048110417
aSP2,aggression,1.4746934280683635
aSP2,aggression,1.0087493338070705
aSP2,aggression,4.42970330876069
aSP2,aggression,1.2165063214898388
aSP2,aggression,9.163125496425733
aSP2,aggression,1.0
aSP2,aggression,3.1468759961746895
aSP2,aggression,1.4277356234149159
aSP2,aggression,5.995234834012183
aSP2,aggression,0.9234998850486629
aSP2,aggression,5.0420057012418225
aSP2,aggression,1.3015907291441733
aSP2,aggression,2.1463486794964846
aSP2,aggression,1.8666986490408248
aSP2,courtship,7.293210113372595
aSP2,courtship,2.469679011386158
aSP2,courtship,2.947228441977567
aSP2,courtship,1.7159700564706128
aSP2,courtship,1.847028097982709
aSP2,courtship,1.4854847482210036
aSP2,courtship,2.0155584084858305
aSP2,courtship,9.768290252353355
aSP2,courtship,4.539021732236247
aSP2,courtship,4.392322097378277
aSP2,courtship,6.9840636800782425
aSP2,courtship,7.66520947743431
aSP2,courtship,3.630982188133874
aSP2,courtship,3.049529403091441
aSP2,courtship,1.8958010704885502
aSP2,courtship,2.154677555985143
aSP2,courtship,3.2584034287547845
aSP2,courtship,9.442055260421059
aSP2,courtship,7.793908471433696
aSP2,courtship,1.5033052709785122
aSP2,courtship,10.360340080691245
aSP2,courtship,7.642250387951526
aSP2,courtship,1.3375979946838936
aSP2,courtship,1.888482121964659
aSP2,control,1.0796518413668084
aSP2,control,1.0465156431399398
aSP2,control,1.0754961104514644
aSP2,control,1.0411409733474883
aSP2,control,0.9155470474937755
aSP2,control,1.1102892247730405
aSP2,control,1.0208894679181595
aSP2,control,1.0810626143065574
aSP2,control,1.1387551189518306
aSP2,control,1.1186740247877154
aSP2,control,0.9946760276983952
aSP2,control,1.098940991490936
aSP2,control,1.114173797951977
aSP2,control,1.425890409012772
aSP2,control,1.1220613048368953
aSP2,control,1.1205010247563438
aSP2,control,1.2996569901496695
aSP2,control,1.1819618216915706
aSP2,control,1.1715316523391042
aSP2,control,1.1078855062382524
P1a,control,1.016834727268818
P1a,control,1.0666887738787498
P1a,control,0.9764895520040887
P1a,control,0.8447451016241583
P1a,control,1.1640754913549576
P1a,control,0.9050579960130969
P1a,control,1.1465111197436144
P1a,control,0.8476828297820975
P1a,control,0.8718832278627188
P1a,control,0.973893426175989
P1a,control,1.0437461177357106
P1a,control,1.132224536388032
P1a,control,1.0165385825356164
P1a,control,0.9373592722687563
